Date,daily_mean_sentiment,news_volume
2010-01-05,0.12726666666666667,3
2010-01-06,-0.5423,1
2010-01-07,0.0,1
2010-01-11,-0.1779,1
2010-01-13,-0.20095,2
2010-01-14,0.0,1
2010-01-20,0.4019,1
2010-01-28,0.23835,2
2010-02-02,0.0,1
2010-02-04,0.0,1
2010-02-05,0.516,1
2010-02-08,0.3715,2
2010-02-12,0.0,1
2010-02-18,-0.4588,1
2010-02-23,0.5106,1
2010-02-26,0.0,2
2010-03-01,-0.4019,1
2010-03-02,0.0,1
2010-03-05,0.10115,2
2010-03-08,0.34,1
2010-03-09,-0.5267,1
2010-03-10,-0.4767,1
2010-03-12,-0.6249,1
2010-03-15,0.2263,1
2010-03-22,0.3612,1
2010-03-24,0.2023,1
2010-04-01,0.0,2
2010-04-05,0.2553,2
2010-04-12,0.0,1
2010-04-14,-0.050875000000000004,4
2010-04-15,0.0,1
2010-04-19,0.0,2
2010-04-22,0.23659999999999998,2
2010-04-23,0.6369,1
2010-04-28,-0.42775,2
2010-04-30,0.0,1
2010-05-04,0.0,1
2010-05-05,-0.4767,1
2010-05-06,0.0,1
2010-05-07,0.1531,1
2010-05-11,0.0,1
2010-05-12,0.17556666666666665,3
2010-05-17,-0.5423,1
2010-05-18,0.5256,1
2010-05-20,0.0,1
2010-05-25,0.0,1
2010-05-26,0.0,1
2010-06-01,0.0,3
2010-06-07,-0.10730000000000003,2
2010-06-08,0.25,1
2010-06-11,0.4487,2
2010-06-14,0.0,1
2010-06-15,0.1366,2
2010-06-21,0.10166666666666668,3
2010-06-22,0.0,1
2010-06-23,-0.3182,1
2010-06-28,0.13834999999999997,2
2010-06-29,0.0,1
2010-06-30,-0.3366,3
2010-07-06,-0.318,2
2010-07-07,0.0,1
2010-07-13,0.1796,4
2010-07-14,0.21670000000000003,2
2010-07-20,-0.7003,1
2010-07-21,0.1027,1
2010-07-26,-0.1695,1
2010-07-30,-0.40080000000000005,2
2010-08-02,0.20095,2
2010-08-04,0.3784666666666667,3
2010-08-06,0.2023,1
2010-08-09,0.7717,1
2010-08-10,0.0,1
2010-08-11,0.0,1
2010-08-17,0.2023,1
2010-08-24,0.0,1
2010-08-27,0.0,2
2010-08-30,0.0,2
2010-09-03,-0.03423333333333333,3
2010-09-07,-0.5445,2
2010-09-09,0.5106,1
2010-09-10,0.0,1
2010-09-13,-0.06514999999999999,2
2010-09-14,0.0,1
2010-09-15,0.03423333333333333,3
2010-09-17,0.1909,2
2010-09-20,-0.2732,1
2010-09-21,0.0,1
2010-09-22,-0.23835,2
2010-09-24,-0.026824999999999988,4
2010-09-27,0.0,1
2010-09-28,-0.6249,1
2010-09-29,-0.4019,1
2010-09-30,-0.0817,7
2010-10-01,-0.4019,1
2010-10-04,0.0772,1
2010-10-08,0.0,1
2010-10-12,0.0,2
2010-10-13,0.28595,2
2010-10-14,0.0,2
2010-10-19,-0.005999999999999998,4
2010-10-20,-0.3182,1
2010-10-22,0.0,1
2010-10-26,0.0,1
2010-10-29,0.0,1
2010-11-02,0.1779,1
2010-11-04,0.0258,1
2010-11-05,0.0,1
2010-11-08,-0.3592,2
2010-11-10,0.0,2
2010-11-11,0.0,1
2010-11-12,0.0,1
2010-11-15,0.15293333333333334,3
2010-11-18,0.4958,2
2010-11-22,0.0,2
2010-11-23,-0.4767,1
2010-11-24,0.2528,1
2010-11-26,-0.3818,1
2010-11-29,0.1343,2
2010-11-30,0.0,1
2010-12-02,0.0,1
2010-12-03,0.0,1
2010-12-09,0.743,1
2010-12-10,-0.16215,4
2010-12-13,0.05435000000000004,2
2010-12-14,0.6369,1
2010-12-16,-0.2732,1
2010-12-17,0.0,1
2010-12-20,0.6124,1
2010-12-22,0.0,2
2010-12-23,-0.1779,1
2010-12-30,0.6369,1
2010-12-31,-0.043559999999999995,5
2011-01-03,0.0,2
2011-01-04,0.09106666666666667,3
2011-01-05,0.0,1
2011-01-06,0.27115,2
2011-01-11,0.3818,1
2011-01-12,-0.1591,2
2011-01-13,0.2202,2
2011-01-14,0.6124,1
2011-01-18,0.6369,1
2011-01-19,0.4449,1
2011-01-20,-0.006249999999999978,2
2011-01-21,-0.026500000000000024,2
2011-01-24,0.6369,1
2011-01-26,0.0,1
2011-01-28,0.0,3
2011-01-31,0.0,1
2011-02-01,0.146,4
2011-02-02,0.0,1
2011-02-03,0.2997,2
2011-02-04,0.2997,2
2011-02-09,0.0,1
2011-02-14,0.12246666666666667,3
2011-02-15,0.0,3
2011-02-16,-0.3818,1
2011-02-18,0.0,2
2011-02-23,0.128,1
2011-02-24,0.0,1
2011-02-28,-0.12916666666666668,3
2011-03-01,0.12925,2
2011-03-04,0.3057,2
2011-03-08,0.24914999999999998,2
2011-03-09,-0.1366,2
2011-03-10,0.0,2
2011-03-11,0.0,2
2011-03-14,0.0,1
2011-03-15,0.0,1
2011-03-16,0.3454,2
2011-03-17,0.06835,2
2011-03-23,0.2732,1
2011-03-29,0.0,1
2011-03-30,0.4215,1
2011-03-31,0.0,2
2011-04-01,-0.34,1
2011-04-04,-0.0172,3
2011-04-05,0.0,2
2011-04-06,-0.5574,1
2011-04-12,0.34,1
2011-04-13,0.31845,2
2011-04-14,0.4358,2
2011-04-15,0.04930000000000001,2
2011-04-18,-0.148,2
2011-04-19,0.0,1
2011-04-20,0.37895,2
2011-04-21,-0.029233333333333333,6
2011-04-25,-0.4215,1
2011-04-26,0.10115,2
2011-04-27,0.0,1
2011-04-28,0.0,1
2011-04-29,0.099325,4
2011-05-02,0.159225,4
2011-05-03,0.21230000000000002,3
2011-05-05,0.0,1
2011-05-06,0.12040000000000001,3
2011-05-09,0.0,1
2011-05-10,0.0,3
2011-05-11,0.0,2
2011-05-12,0.0,1
2011-05-13,-0.292825,4
2011-05-16,-0.34,1
2011-05-17,0.4404,1
2011-05-18,0.29575,2
2011-05-20,0.1147,4
2011-05-23,-0.200425,4
2011-05-25,0.0,1
2011-05-26,-0.128,1
2011-05-27,0.15926666666666667,6
2011-06-01,0.05875000000000001,4
2011-06-02,0.0017749999999999988,4
2011-06-03,0.0,3
2011-06-07,0.1408333333333333,3
2011-06-08,0.1909,2
2011-06-09,0.0,1
2011-06-10,-0.31245,2
2011-06-13,0.0,2
2011-06-14,0.0,1
2011-06-15,0.0,3
2011-06-16,0.0,4
2011-06-20,0.4136,2
2011-06-21,0.21075,2
2011-06-22,0.0,2
2011-06-23,0.148,2
2011-06-24,-0.10352000000000001,5
2011-06-27,0.0,2
2011-06-29,0.03924,5
2011-06-30,-0.038525000000000004,4
2011-07-01,-0.33342499999999997,4
2011-07-05,0.0,2
2011-07-07,0.0,1
2011-07-08,0.1661,3
2011-07-12,0.0,3
2011-07-13,0.0,1
2011-07-14,0.0,2
2011-07-15,0.15293333333333334,3
2011-07-18,0.04844999999999999,2
2011-07-19,-0.10606666666666666,3
2011-07-20,0.0,3
2011-07-21,0.0,4
2011-07-22,0.0,2
2011-07-25,0.0,2
2011-07-26,0.0,1
2011-07-27,-0.6007,2
2011-07-28,-0.5423,1
2011-07-29,0.1147,4
2011-08-01,0.0,2
2011-08-02,-0.21423333333333336,3
2011-08-03,0.0,1
2011-08-04,-0.21619999999999998,3
2011-08-05,-0.5984,2
2011-08-08,-0.022966666666666677,6
2011-08-09,0.038474999999999995,4
2011-08-10,0.0,3
2011-08-11,-0.023424999999999994,4
2011-08-12,0.12055,2
2011-08-15,-0.8126,1
2011-08-16,0.4404,1
2011-08-17,-0.1909,2
2011-08-18,-0.34463333333333335,3
2011-08-22,-0.12726666666666667,3
2011-08-23,0.0,4
2011-08-24,0.0,1
2011-08-25,0.0,3
2011-08-26,0.100475,4
2011-08-29,0.0,1
2011-08-30,-0.5267666666666667,3
2011-08-31,0.0,2
2011-09-01,0.0,2
2011-09-02,0.0,2
2011-09-06,0.0,2
2011-09-07,0.005566666666666682,3
2011-09-08,0.0,2
2011-09-09,-0.1591,2
2011-09-12,0.0683,4
2011-09-13,0.2601333333333333,3
2011-09-14,0.04832499999999999,4
2011-09-15,-0.09106666666666667,3
2011-09-16,0.3183666666666667,3
2011-09-19,0.0,3
2011-09-21,-0.2997,2
2011-09-22,0.02066,5
2011-09-23,0.22812500000000002,4
2011-09-26,-0.16486666666666666,3
2011-09-27,-0.3275666666666667,3
2011-09-28,-0.43006666666666665,3
2011-09-29,0.1722,3
2011-09-30,0.12738,5
2011-10-03,0.12223999999999999,5
2011-10-04,-0.19482500000000003,4
2011-10-05,-0.18185,4
2011-10-06,0.0,1
2011-10-07,-0.1806,2
2011-10-10,-0.1796,4
2011-10-11,-0.03172000000000001,5
2011-10-12,-0.5955,2
2011-10-13,-0.17759999999999998,3
2011-10-14,0.18862,5
2011-10-17,0.0,1
2011-10-18,-0.25756666666666667,3
2011-10-19,0.042666666666666665,3
2011-10-20,0.0565,3
2011-10-21,0.19063333333333332,3
2011-10-24,0.22036666666666668,3
2011-10-25,0.3182,1
2011-10-26,0.0625,4
2011-10-27,0.0,2
2011-10-28,0.0,3
2011-10-31,-0.11315,2
2011-11-01,0.0,2
2011-11-02,0.0,2
2011-11-03,-0.12040000000000001,3
2011-11-04,0.24695,2
2011-11-07,0.0,2
2011-11-08,0.0,3
2011-11-09,-0.025739999999999996,5
2011-11-10,0.0,1
2011-11-11,0.0,2
2011-11-14,0.28665,2
2011-11-15,-0.12055,2
2011-11-17,0.119175,4
2011-11-18,0.15533999999999998,5
2011-11-21,-0.5363,2
2011-11-22,0.38935,2
2011-11-23,-0.032,4
2011-11-25,0.17,2
2011-11-28,0.2121333333333333,3
2011-11-29,0.15605,4
2011-11-30,0.0,2
2011-12-01,0.06743333333333333,3
2011-12-02,0.0,3
2011-12-05,0.025733333333333334,3
2011-12-06,-0.37076666666666663,3
2011-12-07,0.0,5
2011-12-08,0.18686,5
2011-12-09,0.0,3
2011-12-12,0.184,2
2011-12-13,0.07180000000000002,3
2011-12-14,0.12726666666666667,3
2011-12-15,0.0,2
2011-12-16,-0.2269,3
2011-12-19,0.105375,4
2011-12-20,0.0,4
2011-12-21,0.0,4
2011-12-22,0.03293999999999999,5
2011-12-23,0.3967,3
2011-12-27,-0.2006,1
2011-12-28,-0.06653333333333332,3
2011-12-30,-0.04487499999999999,4
2012-01-03,-0.119175,4
2012-01-04,0.0,1
2012-01-05,0.0,2
2012-01-06,0.0,2
2012-01-09,0.1589,3
2012-01-10,-0.27115,2
2012-01-11,0.1366,2
2012-01-12,-0.09603333333333335,3
2012-01-13,0.1366,2
2012-01-17,0.1909,2
2012-01-18,-0.25103333333333333,3
2012-01-19,-0.0869,5
2012-01-20,0.0516,1
2012-01-23,0.029625000000000012,4
2012-01-24,0.12040000000000001,3
2012-01-25,-0.3058,3
2012-01-26,0.2553,2
2012-01-27,-0.13396666666666665,3
2012-01-30,0.21075,2
2012-01-31,-0.2159333333333333,3
2012-02-01,0.0,2
2012-02-02,0.28595,2
2012-02-03,0.159,4
2012-02-06,-0.296,1
2012-02-07,-0.17,2
2012-02-08,0.0,3
2012-02-09,0.59915,2
2012-02-10,0.0,1
2012-02-13,0.18196666666666664,3
2012-02-14,0.27904999999999996,6
2012-02-15,-0.03558,5
2012-02-16,0.0,4
2012-02-17,0.0,1
2012-02-21,0.3353333333333333,3
2012-02-22,-0.23835,2
2012-02-23,0.0,1
